	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
592	827.26	2.7981e-003	11.762	
593	827.31	2.7959e-003	11.427	
594	827.39	2.7922e-003	10.89	
595	827.48	2.7883e-003	10.354	
596	827.53	2.7858e-003	10.02	
597	827.61	2.7814e-003	9.4773	
598	827.75	2.7737e-003	8.598	
599	827.97	2.7597e-003	7.175	
600	828.33	2.7334e-003	4.8821	
601	828.91	2.6817e-003	1.2248	
602	829.86	2.5778e-003	-4.4689	
603	831.39	2.3759e-003	-12.863	
604	831.46	2.3658e-003	-13.229	
605	831.52	2.3585e-003	-13.493	
606	833.06	2.1434e-003	-20.654	
607	834.01	2.0145e-003	-24.558	
608	834.59	1.9378e-003	-26.799	
609	834.96	1.8918e-003	-28.125	
610	835.18	1.8638e-003	-28.921	
611	835.32	1.8468e-003	-29.405	
612	835.4	1.8363e-003	-29.7	
613	835.45	1.8299e-003	-29.881	
614	835.54	1.8197e-003	-30.17	
615	835.62	1.8095e-003	-30.456	
616	835.67	1.8032e-003	-30.634	
617	835.76	1.793e-003	-30.921	
618	835.89	1.7765e-003	-31.383	
619	836.12	1.75e-003	-32.123	
620	836.48	1.7076e-003	-33.297	
621	837.07	1.6407e-003	-35.134	
622	838.02	1.5366e-003	-37.939	
623	839.57	1.3797e-003	-42.028	
624	842.09	1.1569e-003	-47.471	
625	846.18	8.7614e-004	-53.613	
626	852.82	5.7875e-004	-58.983	
627	852.82	5.7874e-004	-58.983	
628	859.17	4.0336e-004	-61.018	
629	863.34	3.2254e-004	-61.168	
630	865.93	2.8265e-004	-60.892	
631	867.53	2.613e-004	-60.671	
632	868.52	2.492e-004	-60.555	
633	869.13	2.4207e-004	-60.499	
634	869.51	2.378e-004	-60.473	
635	869.74	2.352e-004	-60.46	
636	869.88	2.3362e-004	-60.454	
637	869.97	2.3264e-004	-60.45	
638	870.03	2.3205e-004	-60.448	
639	870.11	2.3109e-004	-60.445	
640	870.2	2.3015e-004	-60.442	
641	870.25	2.2955e-004	-60.441	
642	870.34	2.286e-004	-60.439	
643	870.49	2.2705e-004	-60.436	
644	870.72	2.2456e-004	-60.434	
645	871.1	2.2057e-004	-60.436	
646	871.71	2.1419e-004	-60.45	
647	872.7	2.0409e-004	-60.499	
648	874.32	1.8828e-004	-60.609	
649	876.94	1.642e-004	-60.739	
650	881.2	1.2974e-004	-60.679	
651	887.38	8.9229e-005	-60.956	
652	893.26	5.7248e-005	-65.893	
653	897.6	3.4315e-005	-82.759	
654	900.29	2.1554e-005	-116.48	
655	901.96	1.9302e-005	-157.14	
656	902.99	2.2025e-005	177.77	
657	903.62	2.4946e-005	165.3	
658	904.01	2.7056e-005	158.79	
659	904.25	2.8439e-005	155.17	
660	904.4	2.9316e-005	153.07	
661	904.49	2.9864e-005	151.83	
662	904.55	3.0204e-005	151.08	
663	904.64	3.0753e-005	149.91	
664	904.73	3.1307e-005	148.77	
665	904.79	3.1654e-005	148.08	
666	904.88	3.2221e-005	146.97	
667	905.03	3.3148e-005	145.24	
668	905.27	3.4666e-005	142.58	
669	905.66	3.7148e-005	138.63	
670	906.3	4.117e-005	133.	
671	907.33	4.7511e-005	125.49	
672	908.45	5.3911e-005	119.03	
673	909.55	5.9727e-005	113.86	
674	910.58	6.4778e-005	109.8	
675	911.23	6.769e-005	107.59	
676	911.62	6.941e-005	106.32	
677	911.86	7.0441e-005	105.57	
678	912.01	7.1066e-005	105.12	
679	912.11	7.1447e-005	104.85	
680	912.16	7.168e-005	104.68	
681	912.25	7.2051e-005	104.42	
682	912.35	7.2419e-005	104.16	
683	912.4	7.2647e-005	104.	
684	912.49	7.3014e-005	103.74	
685	912.64	7.3604e-005	103.32	
686	912.89	7.4544e-005	102.66	
687	913.28	7.6023e-005	101.63	
688	913.93	7.8298e-005	100.04	
689	914.97	8.1656e-005	97.707	
690	916.66	8.6265e-005	94.488	
691	919.41	9.1927e-005	90.63	
692	923.88	9.8366e-005	87.138	
693	931.13	1.0639e-004	85.298	
694	942.9	1.1776e-004	85.371	
695	946.68	1.2111e-004	85.58	
696	949.22	1.2328e-004	85.728	
697	961.23	1.3275e-004	86.362	
698	968.77	1.3818e-004	86.644	
699	973.48	1.4146e-004	86.761	
700	976.4	1.4351e-004	86.804	
701	978.2	1.4479e-004	86.813	
702	979.32	1.4559e-004	86.81	
703	980.01	1.4609e-004	86.804	
704	980.43	1.464e-004	86.799	
705	980.7	1.4659e-004	86.795	
706	980.86	1.4671e-004	86.792	
707	980.96	1.4678e-004	86.79	
708	981.02	1.4682e-004	86.789	
709	981.12	1.4689e-004	86.787	
710	981.21	1.4697e-004	86.785	
711	981.27	1.4701e-004	86.784	
712	981.37	1.4708e-004	86.782	
713	981.54	1.472e-004	86.778	
714	981.8	1.4739e-004	86.772	
715	982.22	1.477e-004	86.761	
716	982.91	1.4821e-004	86.739	
